City,Latitude,Longitude,Time,Temperature_2m,Relative_Humidity_2m,Wind_Speed_10m,Surface_Pressure
Cairo,30.06263,31.24967,2026-06-01T16:00,33.1,25,8.7,1010.1
Cairo,30.06263,31.24967,2026-06-01T17:00,32.0,27,5.8,1010.4
Cairo,30.06263,31.24967,2026-06-01T18:00,29.3,42,12.6,1011.4
Cairo,30.06263,31.24967,2026-06-01T19:00,28.4,45,10.9,1011.9
Cairo,30.06263,31.24967,2026-06-01T20:00,27.2,47,10.6,1012.5
Cairo,30.06263,31.24967,2026-06-01T21:00,26.1,47,8.4,1012.8
Cairo,30.06263,31.24967,2026-06-01T22:00,25.2,46,7.4,1012.7
Cairo,30.06263,31.24967,2026-06-01T23:00,24.2,50,6.5,1012.5
Cairo,30.06263,31.24967,2026-06-02T00:00,23.4,56,5.6,1012.2
Cairo,30.06263,31.24967,2026-06-02T01:00,22.8,61,4.7,1012.0
Cairo,30.06263,31.24967,2026-06-02T02:00,22.3,65,2.9,1012.2
Cairo,30.06263,31.24967,2026-06-02T03:00,22.0,68,2.6,1012.4
Cairo,30.06263,31.24967,2026-06-02T04:00,22.2,67,3.1,1012.9
Cairo,30.06263,31.24967,2026-06-02T05:00,23.7,61,3.1,1013.2
Cairo,30.06263,31.24967,2026-06-02T06:00,26.2,49,4.1,1013.5
Cairo,30.06263,31.24967,2026-06-02T07:00,29.2,37,3.0,1013.3
Cairo,30.06263,31.24967,2026-06-02T08:00,32.0,29,3.6,1013.0
Cairo,30.06263,31.24967,2026-06-02T09:00,33.9,24,4.7,1012.6
Cairo,30.06263,31.24967,2026-06-02T10:00,35.1,22,5.8,1012.3
Cairo,30.06263,31.24967,2026-06-02T11:00,36.0,21,4.4,1011.8
Cairo,30.06263,31.24967,2026-06-02T12:00,36.6,20,5.7,1010.9
Cairo,30.06263,31.24967,2026-06-02T13:00,36.8,20,6.9,1010.7
Cairo,30.06263,31.24967,2026-06-02T14:00,36.7,19,7.4,1010.1
Cairo,30.06263,31.24967,2026-06-02T15:00,36.2,19,5.9,1009.9
Cairo,30.06263,31.24967,2026-06-02T16:00,35.3,21,7.9,1010.0
Cairo,30.06263,31.24967,2026-06-02T17:00,33.9,22,6.5,1010.3
Cairo,30.06263,31.24967,2026-06-02T18:00,31.4,34,15.5,1011.2
Cairo,30.06263,31.24967,2026-06-02T19:00,29.9,36,13.8,1012.1
Cairo,30.06263,31.24967,2026-06-02T20:00,28.4,35,10.7,1012.4
Cairo,30.06263,31.24967,2026-06-02T21:00,27.7,34,7.7,1012.2
Cairo,30.06263,31.24967,2026-06-02T22:00,26.8,33,6.6,1011.9
Cairo,30.06263,31.24967,2026-06-02T23:00,26.1,36,6.3,1011.3
Cairo,30.06263,31.24967,2026-06-03T00:00,25.8,39,5.4,1010.9
Cairo,30.06263,31.24967,2026-06-03T01:00,25.7,40,3.9,1010.6
Kinshasa,-4.32758,15.31357,2026-06-01T00:00,25.8,85,4.2,979.1
Kinshasa,-4.32758,15.31357,2026-06-01T01:00,25.0,87,1.4,978.7
Kinshasa,-4.32758,15.31357,2026-06-01T02:00,24.7,89,0.4,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T03:00,24.5,91,0.6,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T04:00,24.2,92,1.2,978.9
Kinshasa,-4.32758,15.31357,2026-06-01T05:00,24.0,94,1.3,979.5
Kinshasa,-4.32758,15.31357,2026-06-01T06:00,24.1,92,2.7,980.4
Kinshasa,-4.32758,15.31357,2026-06-01T07:00,25.1,86,2.3,981.0
Kinshasa,-4.32758,15.31357,2026-06-01T08:00,26.4,80,1.4,981.5
Kinshasa,-4.32758,15.31357,2026-06-01T09:00,27.8,75,0.6,981.5
Kinshasa,-4.32758,15.31357,2026-06-01T10:00,29.1,69,0.8,981.1
Kinshasa,-4.32758,15.31357,2026-06-01T11:00,30.5,62,0.7,980.3
Kinshasa,-4.32758,15.31357,2026-06-01T12:00,31.5,55,1.6,979.2
Kinshasa,-4.32758,15.31357,2026-06-01T13:00,32.1,52,3.4,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T14:00,32.2,51,2.9,977.9
Kinshasa,-4.32758,15.31357,2026-06-01T15:00,32.2,50,3.6,977.7
Kinshasa,-4.32758,15.31357,2026-06-01T16:00,31.4,55,5.2,977.9
Kinshasa,-4.32758,15.31357,2026-06-01T17:00,29.6,67,2.7,978.1
Kinshasa,-4.32758,15.31357,2026-06-01T18:00,29.0,71,1.3,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T19:00,28.3,76,2.3,979.3
Kinshasa,-4.32758,15.31357,2026-06-01T20:00,27.9,81,2.3,979.6
Kinshasa,-4.32758,15.31357,2026-06-01T21:00,27.4,83,3.7,980.1
Kinshasa,-4.32758,15.31357,2026-06-01T22:00,26.7,82,4.7,980.2
Kinshasa,-4.32758,15.31357,2026-06-01T23:00,26.0,84,4.3,980.2
Kinshasa,-4.32758,15.31357,2026-06-02T00:00,25.5,85,4.0,980.0
Kinshasa,-4.32758,15.31357,2026-06-02T01:00,25.1,88,2.2,979.5
Kinshasa,-4.32758,15.31357,2026-06-02T02:00,24.8,90,0.4,979.2
Kinshasa,-4.32758,15.31357,2026-06-02T03:00,24.5,92,0.5,979.3
Kinshasa,-4.32758,15.31357,2026-06-02T04:00,24.1,95,0.8,979.6
Kinshasa,-4.32758,15.31357,2026-06-02T05:00,23.9,95,3.2,980.1
Kinshasa,-4.32758,15.31357,2026-06-02T06:00,24.1,92,3.8,980.9
Kinshasa,-4.32758,15.31357,2026-06-02T07:00,25.1,86,2.0,981.9
Kinshasa,-4.32758,15.31357,2026-06-02T08:00,26.5,79,2.3,982.1
Kinshasa,-4.32758,15.31357,2026-06-02T09:00,28.0,73,1.7,981.9
Kinshasa,-4.32758,15.31357,2026-06-02T10:00,29.6,67,1.2,981.5
Kinshasa,-4.32758,15.31357,2026-06-02T11:00,30.9,60,1.3,980.6
Kinshasa,-4.32758,15.31357,2026-06-02T12:00,32.0,53,2.0,979.5
Kinshasa,-4.32758,15.31357,2026-06-02T13:00,32.8,48,2.2,978.7
Kinshasa,-4.32758,15.31357,2026-06-02T14:00,33.2,45,1.7,978.1
Kinshasa,-4.32758,15.31357,2026-06-02T15:00,33.0,45,2.4,977.7
Kinshasa,-4.32758,15.31357,2026-06-02T16:00,32.3,49,3.1,977.6
Kinshasa,-4.32758,15.31357,2026-06-02T17:00,30.6,61,3.3,977.9
Kinshasa,-4.32758,15.31357,2026-06-02T18:00,29.6,67,2.9,978.5
Kinshasa,-4.32758,15.31357,2026-06-02T19:00,28.8,67,8.1,979.6
Kinshasa,-4.32758,15.31357,2026-06-02T20:00,27.8,71,6.2,980.0
Kinshasa,-4.32758,15.31357,2026-06-02T21:00,27.2,74,5.6,980.7
Kinshasa,-4.32758,15.31357,2026-06-02T22:00,26.6,78,3.2,980.9
Kinshasa,-4.32758,15.31357,2026-06-02T23:00,26.2,80,2.2,980.9
Kinshasa,-4.32758,15.31357,2026-06-03T00:00,25.8,83,2.2,980.5
Kinshasa,-4.32758,15.31357,2026-06-03T01:00,25.2,85,2.7,980.0
Johannesburg,-26.20227,28.04363,2026-06-01T00:00,9.4,84,4.8,834.2
Johannesburg,-26.20227,28.04363,2026-06-01T01:00,9.2,84,5.1,833.9
Johannesburg,-26.20227,28.04363,2026-06-01T02:00,8.9,86,4.0,833.5
Johannesburg,-26.20227,28.04363,2026-06-01T03:00,8.6,85,5.4,833.3
Johannesburg,-26.20227,28.04363,2026-06-01T04:00,8.4,84,5.4,833.6
Johannesburg,-26.20227,28.04363,2026-06-01T05:00,7.8,86,5.1,833.9
Johannesburg,-26.20227,28.04363,2026-06-01T06:00,9.7,86,6.8,835.2
Johannesburg,-26.20227,28.04363,2026-06-01T07:00,12.1,78,4.8,836.9
Johannesburg,-26.20227,28.04363,2026-06-01T08:00,14.2,59,6.5,837.7
Johannesburg,-26.20227,28.04363,2026-06-01T09:00,15.6,45,7.0,837.9
Johannesburg,-26.20227,28.04363,2026-06-01T10:00,16.5,39,6.9,837.6
Johannesburg,-26.20227,28.04363,2026-06-01T11:00,17.0,36,6.2,837.3
Johannesburg,-26.20227,28.04363,2026-06-01T12:00,17.8,34,5.9,836.4
Johannesburg,-26.20227,28.04363,2026-06-01T13:00,17.8,34,5.2,836.1
Johannesburg,-26.20227,28.04363,2026-06-01T14:00,17.3,35,4.3,835.8
Johannesburg,-26.20227,28.04363,2026-06-01T15:00,15.7,47,3.5,835.2
Johannesburg,-26.20227,28.04363,2026-06-01T16:00,14.1,47,7.3,834.6
Johannesburg,-26.20227,28.04363,2026-06-01T17:00,12.9,54,4.9,834.5
Johannesburg,-26.20227,28.04363,2026-06-01T18:00,12.4,57,1.8,834.3
Johannesburg,-26.20227,28.04363,2026-06-01T19:00,11.4,67,4.2,833.8
Johannesburg,-26.20227,28.04363,2026-06-01T20:00,10.8,71,2.9,833.4
Johannesburg,-26.20227,28.04363,2026-06-01T21:00,10.2,71,4.9,833.1
Johannesburg,-26.20227,28.04363,2026-06-01T22:00,9.9,69,5.0,832.8
Johannesburg,-26.20227,28.04363,2026-06-01T23:00,9.6,69,4.8,832.5
Johannesburg,-26.20227,28.04363,2026-06-02T00:00,9.2,70,4.8,831.9
Johannesburg,-26.20227,28.04363,2026-06-02T01:00,8.9,71,5.8,831.7
Johannesburg,-26.20227,28.04363,2026-06-02T02:00,8.6,71,5.6,831.5
Johannesburg,-26.20227,28.04363,2026-06-02T03:00,7.9,73,5.0,831.0
Johannesburg,-26.20227,28.04363,2026-06-02T04:00,7.5,75,4.2,831.0
Johannesburg,-26.20227,28.04363,2026-06-02T05:00,7.3,75,4.8,831.1
Johannesburg,-26.20227,28.04363,2026-06-02T06:00,9.8,69,6.5,833.0
Johannesburg,-26.20227,28.04363,2026-06-02T07:00,12.8,57,5.1,835.3
Johannesburg,-26.20227,28.04363,2026-06-02T08:00,14.2,52,5.8,836.3
Johannesburg,-26.20227,28.04363,2026-06-02T09:00,15.4,44,7.3,836.4
Johannesburg,-26.20227,28.04363,2026-06-02T10:00,16.2,41,6.8,836.1
Johannesburg,-26.20227,28.04363,2026-06-02T11:00,16.8,39,6.3,835.4
Johannesburg,-26.20227,28.04363,2026-06-02T12:00,17.1,37,5.4,834.7
Johannesburg,-26.20227,28.04363,2026-06-02T13:00,17.1,36,5.7,834.3
Johannesburg,-26.20227,28.04363,2026-06-02T14:00,16.7,37,5.9,834.1
Johannesburg,-26.20227,28.04363,2026-06-02T15:00,15.2,51,3.1,833.3
Johannesburg,-26.20227,28.04363,2026-06-02T16:00,13.9,54,3.6,832.9
Johannesburg,-26.20227,28.04363,2026-06-02T17:00,12.9,57,4.3,832.8
Johannesburg,-26.20227,28.04363,2026-06-02T18:00,12.1,61,2.3,832.8
Johannesburg,-26.20227,28.04363,2026-06-02T19:00,11.5,62,1.6,832.7
Johannesburg,-26.20227,28.04363,2026-06-02T20:00,10.9,62,3.0,832.4
Johannesburg,-26.20227,28.04363,2026-06-02T21:00,10.4,63,2.4,832.0
Johannesburg,-26.20227,28.04363,2026-06-02T22:00,10.1,64,1.4,831.4
Johannesburg,-26.20227,28.04363,2026-06-02T23:00,9.6,65,0.0,831.0
Johannesburg,-26.20227,28.04363,2026-06-03T00:00,8.8,68,1.9,830.3
Johannesburg,-26.20227,28.04363,2026-06-03T01:00,8.4,69,1.3,829.4
Nairobi,-1.28333,36.81667,2026-06-01T00:00,16.6,85,4.0,839.1
Nairobi,-1.28333,36.81667,2026-06-01T01:00,15.8,94,5.2,838.9
Nairobi,-1.28333,36.81667,2026-06-01T02:00,15.9,95,5.0,839.1
Nairobi,-1.28333,36.81667,2026-06-01T03:00,16.0,94,3.4,839.6
Nairobi,-1.28333,36.81667,2026-06-01T04:00,16.1,91,2.3,840.0
Nairobi,-1.28333,36.81667,2026-06-01T05:00,16.6,90,3.0,841.0
Nairobi,-1.28333,36.81667,2026-06-01T06:00,17.6,81,6.0,841.8
Nairobi,-1.28333,36.81667,2026-06-01T07:00,19.5,68,8.1,842.8
Nairobi,-1.28333,36.81667,2026-06-01T08:00,21.1,58,10.2,842.9
Nairobi,-1.28333,36.81667,2026-06-01T09:00,21.2,56,9.0,842.4
Nairobi,-1.28333,36.81667,2026-06-01T10:00,21.2,58,9.0,841.6
Nairobi,-1.28333,36.81667,2026-06-01T11:00,22.0,55,8.0,841.0
Nairobi,-1.28333,36.81667,2026-06-01T12:00,21.5,56,8.0,840.6
Nairobi,-1.28333,36.81667,2026-06-01T13:00,20.9,61,5.6,840.0
Nairobi,-1.28333,36.81667,2026-06-01T14:00,20.8,62,4.4,840.1
Nairobi,-1.28333,36.81667,2026-06-01T15:00,20.2,67,3.9,839.8
Nairobi,-1.28333,36.81667,2026-06-01T16:00,19.2,76,4.7,839.5
Nairobi,-1.28333,36.81667,2026-06-01T17:00,19.1,79,4.1,839.8
Nairobi,-1.28333,36.81667,2026-06-01T18:00,18.5,70,9.0,840.4
Nairobi,-1.28333,36.81667,2026-06-01T19:00,17.5,75,7.7,840.7
Nairobi,-1.28333,36.81667,2026-06-01T20:00,16.3,87,3.8,840.7
Nairobi,-1.28333,36.81667,2026-06-01T21:00,16.5,89,5.4,840.9
Nairobi,-1.28333,36.81667,2026-06-01T22:00,16.4,94,6.3,840.5
Nairobi,-1.28333,36.81667,2026-06-01T23:00,16.3,95,6.7,840.0
Nairobi,-1.28333,36.81667,2026-06-02T00:00,16.2,94,5.3,839.7
Nairobi,-1.28333,36.81667,2026-06-02T01:00,16.1,94,4.0,839.6
Nairobi,-1.28333,36.81667,2026-06-02T02:00,15.9,96,4.9,839.7
Nairobi,-1.28333,36.81667,2026-06-02T03:00,15.8,96,5.8,840.1
Nairobi,-1.28333,36.81667,2026-06-02T04:00,15.9,94,5.0,840.4
Nairobi,-1.28333,36.81667,2026-06-02T05:00,15.8,96,5.8,841.0
